                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.71757,                0.37652,                0.92409,                0.97675,                0.98408,                0.99157,                0.78184,                0.83831,                0.36948,                0.96673,             0.00055012,             0.00055012,             0.00055012
                    118,                 0.7024,                0.37531,                0.92177,                0.96684,                0.98138,                0.98883,                0.77174,                0.88173,                0.38192,                0.98542,             0.00054822,             0.00054822,             0.00054822
                    119,                0.74508,                0.37319,                0.92731,                0.97667,                0.98699,                0.99355,                0.78087,                0.87536,                0.36464,                 0.9914,             0.00054632,             0.00054632,             0.00054632
                    120,                0.71642,                0.37023,                0.92964,                0.98227,                0.99041,                0.99401,                0.78392,                0.85717,                0.36313,                0.98488,             0.00054441,             0.00054441,             0.00054441
                    121,                 0.7087,                0.36555,                0.91977,                0.98121,                0.97449,                0.99284,                0.78552,                0.85394,                0.36149,                0.97914,             0.00054251,             0.00054251,             0.00054251
                    122,                0.73077,                0.37669,                0.92215,                0.98098,                0.98496,                0.99382,                0.78783,                0.85239,                0.36395,                0.97555,             0.00054061,             0.00054061,             0.00054061
                    123,                0.72316,                0.37703,                0.92812,                0.97872,                0.98013,                0.99356,                0.79156,                0.85278,                 0.3626,                0.97572,              0.0005387,              0.0005387,              0.0005387
                    124,                0.73206,                0.38042,                0.91568,                0.96783,                0.98812,                0.99352,                 0.7915,                0.84429,                 0.3573,                0.97757,              0.0005368,              0.0005368,              0.0005368
                    125,                0.71172,                0.37455,                0.92433,                0.98377,                0.98513,                0.99368,                0.78743,                0.83008,                0.36294,                0.97019,              0.0005349,              0.0005349,              0.0005349
                    126,                 0.7221,                0.37474,                0.92107,                0.97258,                0.99179,                 0.9938,                0.79006,                0.84439,                0.35881,                0.97979,             0.00053299,             0.00053299,             0.00053299
                    127,                0.71712,                0.37407,                0.92167,                0.97823,                0.99451,                0.99391,                0.78969,                0.85895,                0.35841,                0.98217,             0.00053109,             0.00053109,             0.00053109
                    128,                0.71687,                0.36964,                0.93106,                0.97785,                0.99174,                0.99314,                0.78225,                0.85865,                0.35558,                0.98418,             0.00052919,             0.00052919,             0.00052919
                    129,                0.71452,                0.36981,                0.92457,                0.98144,                0.99192,                0.99314,                0.79081,                0.84923,                0.35519,                0.98133,             0.00052728,             0.00052728,             0.00052728
                    130,                  0.714,                0.37312,                0.92634,                0.97329,                0.99146,                0.99337,                0.79272,                0.83991,                0.35854,                0.98192,             0.00052538,             0.00052538,             0.00052538
                    131,                0.71847,                0.36675,                0.91945,                0.97438,                0.98958,                0.99322,                0.78866,                0.85421,                0.35952,                0.98586,             0.00052348,             0.00052348,             0.00052348
                    132,                0.71913,                0.37047,                0.92511,                0.95822,                0.97712,                0.99088,                0.79423,                 0.8533,                0.39872,                0.98825,             0.00052157,             0.00052157,             0.00052157
                    133,                0.71668,                0.36943,                0.92364,                0.95559,                 0.9685,                0.98278,                0.78052,                0.86105,                0.42153,                 0.9946,             0.00051967,             0.00051967,             0.00051967
                    134,                0.70554,                0.37109,                0.91289,                 0.9508,                0.97393,                0.98289,                0.78224,                0.86631,                0.43337,                0.98684,             0.00051777,             0.00051777,             0.00051777
                    135,                0.70131,                0.36415,                0.92883,                0.96777,                0.98057,                0.98714,                0.79217,                0.85883,                0.40335,                0.98144,             0.00051586,             0.00051586,             0.00051586
                    136,                0.70689,                0.37061,                0.92042,                0.97066,                0.98124,                0.99096,                0.78966,                0.87087,                0.39001,                0.98201,             0.00051396,             0.00051396,             0.00051396
                    137,                 0.7095,                0.37166,                0.91482,                0.98681,                0.98392,                0.99393,                0.79667,                0.87667,                0.37181,                0.98123,             0.00051206,             0.00051206,             0.00051206
                    138,                0.70602,                0.36221,                0.92158,                0.98424,                0.98621,                0.99431,                 0.7881,                0.86644,                0.36489,                0.97772,             0.00051015,             0.00051015,             0.00051015
                    139,                 0.6921,                0.36131,                0.91996,                0.98223,                0.98142,                0.99376,                 0.7885,                0.86944,                0.36446,                0.98238,             0.00050825,             0.00050825,             0.00050825
                    140,                0.69636,                0.36191,                 0.9118,                 0.9828,                0.98926,                0.99406,                0.79299,                0.87332,                0.36586,                0.98784,             0.00050635,             0.00050635,             0.00050635
                    141,                0.70727,                0.36263,                0.92271,                0.97411,                0.98923,                0.99382,                0.79447,                0.85758,                0.36659,                0.98372,             0.00050444,             0.00050444,             0.00050444
                    142,                0.69711,                0.36753,                0.91096,                0.97923,                0.98886,                0.99355,                0.79853,                0.84714,                0.35459,                0.98028,             0.00050254,             0.00050254,             0.00050254
                    143,                0.70333,                0.35814,                0.91556,                0.97325,                0.99114,                 0.9935,                 0.7862,                0.85192,                0.35638,                 0.9785,             0.00050064,             0.00050064,             0.00050064
                    144,                0.70036,                0.35594,                0.91903,                 0.9794,                0.98398,                0.99376,                0.79056,                   0.85,                0.35558,                0.97651,             0.00049873,             0.00049873,             0.00049873
                    145,                0.69015,                0.35769,                 0.9176,                0.97732,                0.98141,                0.99334,                0.79673,                0.86207,                0.36203,                0.97928,             0.00049683,             0.00049683,             0.00049683
                    146,                0.69431,                0.35803,                0.91629,                0.97676,                0.98051,                0.99297,                0.78916,                0.87216,                0.36639,                0.98317,             0.00049493,             0.00049493,             0.00049493
                    147,                0.68322,                0.35337,                0.91645,                 0.9819,                0.98331,                0.99278,                0.78546,                0.86735,                0.36158,                0.98255,             0.00049303,             0.00049303,             0.00049303
                    148,                0.69667,                 0.3667,                 0.9119,                0.98018,                0.98781,                0.99313,                0.79296,                0.85887,                0.35097,                0.97834,             0.00049112,             0.00049112,             0.00049112
                    149,                0.69488,                0.36057,                0.91359,                0.98101,                0.98455,                0.99293,                0.79636,                0.87167,                0.36055,                0.97996,             0.00048922,             0.00048922,             0.00048922
                    150,                0.68495,                 0.3538,                0.90678,                0.98152,                0.98338,                0.99305,                0.78992,                0.84851,                 0.3512,                0.96738,             0.00048732,             0.00048732,             0.00048732
                    151,                0.70766,                0.36931,                0.91655,                 0.9775,                0.97995,                  0.993,                0.79274,                0.84647,                0.34818,                 0.9698,             0.00048541,             0.00048541,             0.00048541
                    152,                 0.7063,                0.36399,                0.91311,                0.97615,                0.98185,                0.99314,                0.79124,                0.86415,                0.35217,                0.97735,             0.00048351,             0.00048351,             0.00048351
                    153,                0.70704,                0.36304,                0.91627,                0.97374,                0.98412,                0.99285,                0.79508,                0.83995,                0.34644,                0.97191,             0.00048161,             0.00048161,             0.00048161
                    154,                0.70183,                0.35919,                0.91975,                0.97227,                0.98944,                0.99362,                0.79589,                0.85362,                0.35131,                  0.973,              0.0004797,              0.0004797,              0.0004797
                    155,                0.68979,                0.35457,                 0.9147,                0.97959,                0.98433,                0.99324,                 0.7924,                0.85261,                0.35263,                0.97642,              0.0004778,              0.0004778,              0.0004778
                    156,                0.68501,                0.35151,                 0.9107,                 0.9816,                0.98346,                0.99292,                0.79385,                0.84323,                0.34598,                0.97618,              0.0004759,              0.0004759,              0.0004759
                    157,                0.69697,                 0.3557,                0.91802,                0.98537,                0.98848,                0.99255,                0.79374,                0.83434,                0.34736,                0.97349,             0.00047399,             0.00047399,             0.00047399
                    158,                0.68732,                0.35199,                0.91398,                0.98218,                0.98536,                0.99174,                0.79547,                0.84542,                0.34777,                  0.975,             0.00047209,             0.00047209,             0.00047209
                    159,                0.67765,                0.35479,                0.91774,                0.97801,                0.98379,                0.99228,                0.79929,                0.85703,                 0.3489,                0.97764,             0.00047019,             0.00047019,             0.00047019
                    160,                0.67361,                0.34526,                0.90693,                0.97922,                0.98432,                0.99263,                0.79665,                0.86408,                0.35363,                0.98249,             0.00046828,             0.00046828,             0.00046828
                    161,                0.69175,                0.34886,                 0.9111,                0.96531,                0.98721,                0.99289,                0.79644,                0.86726,                0.35485,                0.97947,             0.00046638,             0.00046638,             0.00046638
                    162,                0.68124,                 0.3514,                0.91517,                0.98313,                0.97807,                0.99319,                0.79633,                0.85461,                0.35079,                0.97896,             0.00046448,             0.00046448,             0.00046448
                    163,                0.68804,                0.35004,                0.91288,                0.98091,                0.98223,                0.99388,                0.79823,                0.86093,                0.35439,                0.98791,             0.00046257,             0.00046257,             0.00046257
                    164,                0.66482,                0.34314,                0.92192,                0.98586,                0.98125,                 0.9936,                0.78976,                0.86065,                0.35199,                0.99117,             0.00046067,             0.00046067,             0.00046067
                    165,                0.70121,                0.35698,                 0.9159,                0.98543,                0.98281,                0.99299,                0.77998,                0.86727,                0.35489,                0.98476,             0.00045877,             0.00045877,             0.00045877
                    166,                0.70037,                0.35126,                0.91412,                0.98281,                0.98581,                  0.993,                0.78593,                0.86016,                 0.3548,                0.98515,             0.00045686,             0.00045686,             0.00045686
                    167,                0.68747,                0.35286,                0.91504,                0.98216,                0.98394,                0.99244,                0.79015,                0.87378,                0.35827,                0.99239,             0.00045496,             0.00045496,             0.00045496
                    168,                0.68357,                0.35234,                0.91558,                0.98453,                0.98376,                0.99243,                0.78135,                0.87807,                 0.3615,                0.99284,             0.00045306,             0.00045306,             0.00045306
                    169,                0.68222,                0.34662,                0.91406,                0.98128,                0.98929,                 0.9927,                0.78742,                0.86806,                0.36115,                0.99039,             0.00045115,             0.00045115,             0.00045115
                    170,                0.68329,                0.34725,                0.91326,                0.98057,                0.99024,                0.99284,                0.78634,                0.85964,                0.35323,                0.98455,             0.00044925,             0.00044925,             0.00044925
                    171,                0.67442,                0.34303,                0.90773,                0.97582,                0.99251,                0.99183,                0.78985,                0.86416,                0.34809,                0.98779,             0.00044735,             0.00044735,             0.00044735
                    172,                0.66322,                 0.3472,                0.91301,                0.97624,                0.99118,                0.99198,                0.79178,                0.87346,                0.34991,                0.98377,             0.00044544,             0.00044544,             0.00044544
                    173,                0.66779,                0.34124,                0.91289,                0.97452,                0.98845,                0.99178,                0.79606,                 0.8687,                0.35289,                 0.9857,             0.00044354,             0.00044354,             0.00044354
                    174,                0.66248,                 0.3419,                0.90845,                0.97153,                0.98801,                0.99154,                0.79705,                 0.8646,                0.36115,                0.99031,             0.00044164,             0.00044164,             0.00044164
                    175,                0.68459,                0.34493,                0.91882,                0.97392,                 0.9879,                0.99158,                0.78794,                0.87922,                0.35608,                0.99324,             0.00043973,             0.00043973,             0.00043973
                    176,                0.67469,                0.34767,                0.90613,                0.97901,                0.98799,                 0.9922,                0.79762,                0.86897,                0.36003,                0.98899,             0.00043783,             0.00043783,             0.00043783
                    177,                 0.6626,                0.34362,                0.91031,                0.97898,                0.98902,                0.99251,                0.79874,                0.85759,                0.36145,                0.99057,             0.00043593,             0.00043593,             0.00043593
                    178,                0.66757,                0.33725,                0.91115,                 0.9771,                0.98963,                0.99228,                0.79089,                0.85485,                0.35556,                0.99173,             0.00043402,             0.00043402,             0.00043402
                    179,                0.66653,                0.34117,                0.91716,                0.97946,                0.98811,                0.99189,                0.79546,                0.85453,                0.35525,                0.98781,             0.00043212,             0.00043212,             0.00043212
                    180,                0.65704,                0.34034,                0.91481,                0.97688,                0.98586,                0.99197,                0.79729,                0.86862,                 0.3642,                0.98713,             0.00043022,             0.00043022,             0.00043022
                    181,                0.67485,                0.34621,                0.91443,                0.98174,                0.98759,                0.99227,                0.79051,                0.88706,                 0.3595,                0.99776,             0.00042831,             0.00042831,             0.00042831
                    182,                0.66025,                0.33838,                0.90911,                0.98106,                 0.9878,                0.99302,                 0.7927,                 0.8852,                0.35415,                 1.0036,             0.00042641,             0.00042641,             0.00042641
                    183,                0.66964,                0.34302,                0.91249,                 0.9803,                0.99049,                0.99396,                0.78879,                0.87544,                0.35508,                 0.9979,             0.00042451,             0.00042451,             0.00042451
                    184,                0.67174,                0.34459,                0.90754,                 0.9788,                0.99004,                0.99343,                0.80205,                0.85464,                0.34787,                0.98582,              0.0004226,              0.0004226,              0.0004226
                    185,                0.67245,                0.33942,                0.90578,                0.98356,                0.98646,                0.99281,                0.79883,                0.86244,                 0.3492,                0.98551,              0.0004207,              0.0004207,              0.0004207
                    186,                0.64638,                0.33803,                0.89958,                0.98142,                0.98985,                0.99354,                0.79528,                0.87479,                0.35085,                0.98956,              0.0004188,              0.0004188,              0.0004188
                    187,                0.65857,                0.34114,                0.89714,                0.98524,                0.98666,                0.99345,                0.79692,                 0.8522,                 0.3392,                0.98031,             0.00041689,             0.00041689,             0.00041689
                    188,                0.65429,                 0.3327,                0.89937,                0.98706,                0.99004,                0.99343,                0.79626,                0.83975,                0.34057,                0.97675,             0.00041499,             0.00041499,             0.00041499
                    189,                0.65632,                0.33739,                0.91221,                0.98634,                0.98696,                0.99273,                0.79103,                0.85789,                0.33869,                0.98296,             0.00041309,             0.00041309,             0.00041309
                    190,                0.66059,                0.33324,                0.90418,                0.98403,                0.98914,                0.99237,                0.79244,                0.85404,                0.33491,                0.98374,             0.00041118,             0.00041118,             0.00041118
                    191,                0.65091,                0.33499,                0.90043,                0.98406,                0.98993,                0.99203,                0.79365,                0.84819,                0.34023,                0.98292,             0.00040928,             0.00040928,             0.00040928
                    192,                0.64264,                0.33077,                0.90725,                0.98189,                0.98793,                0.99288,                0.78654,                0.87092,                0.34106,                0.99498,             0.00040738,             0.00040738,             0.00040738
                    193,                0.65104,                 0.3299,                0.90557,                0.98578,                0.98811,                0.99313,                0.79046,                0.87262,                0.34608,                0.98929,             0.00040547,             0.00040547,             0.00040547
                    194,                0.65098,                0.33384,                0.90356,                0.98271,                0.99112,                0.99302,                 0.7939,                0.85797,                0.34488,                0.98071,             0.00040357,             0.00040357,             0.00040357
                    195,                 0.6599,                0.33854,                0.89974,                0.98406,                0.99101,                 0.9931,                0.79042,                0.85781,                0.34315,                0.97929,             0.00040167,             0.00040167,             0.00040167
                    196,                0.65014,                0.33447,                 0.8946,                0.97101,                0.98914,                0.99232,                0.78965,                0.86216,                 0.3445,                0.98536,             0.00039976,             0.00039976,             0.00039976
                    197,                0.64059,                0.32958,                0.89861,                0.97532,                0.98998,                0.99136,                0.79186,                0.86592,                0.35634,                0.97967,             0.00039786,             0.00039786,             0.00039786
                    198,                0.63158,                 0.3282,                0.89695,                0.97422,                0.98714,                0.99183,                0.79011,                0.85776,                0.35682,                0.97903,             0.00039596,             0.00039596,             0.00039596
                    199,                0.63281,                0.32998,                0.89813,                0.97032,                0.98233,                0.99169,                0.79032,                0.87129,                0.36555,                0.98837,             0.00039405,             0.00039405,             0.00039405
                    200,                0.66039,                0.33266,                0.91102,                0.97372,                0.97558,                0.99112,                0.79078,                0.86087,                0.37325,                0.98198,             0.00039215,             0.00039215,             0.00039215
                    201,                0.64189,                0.32925,                0.90105,                0.96987,                0.99031,                0.99208,                0.78952,                0.86008,                0.35381,                0.97995,             0.00039025,             0.00039025,             0.00039025
                    202,                0.65298,                 0.3312,                0.90031,                0.97261,                0.99058,                0.99281,                0.79138,                 0.8685,                0.34429,                0.98634,             0.00038835,             0.00038835,             0.00038835
                    203,                0.64646,                0.32915,                0.89876,                0.97648,                0.99061,                0.99331,                0.78775,                 0.8823,                0.34932,                0.99023,             0.00038644,             0.00038644,             0.00038644
                    204,                0.63908,                0.32542,                 0.9012,                0.97595,                0.99176,                0.99326,                0.79218,                0.86138,                0.35031,                0.98545,             0.00038454,             0.00038454,             0.00038454
                    205,                0.63341,                0.32549,                0.90645,                0.97671,                0.99263,                0.99329,                0.79504,                0.85902,                0.34375,                0.98555,             0.00038264,             0.00038264,             0.00038264
                    206,                0.64233,                0.32643,                0.89878,                 0.9808,                0.99061,                  0.993,                0.79103,                0.87366,                  0.349,                0.99355,             0.00038073,             0.00038073,             0.00038073
                    207,                0.64096,                0.32769,                0.90467,                0.97951,                0.99227,                0.99344,                0.79037,                0.86622,                0.34095,                0.98838,             0.00037883,             0.00037883,             0.00037883
                    208,                0.64701,                0.33477,                0.90955,                0.97519,                0.99213,                 0.9923,                0.79069,                0.86436,                0.34165,                0.98457,             0.00037693,             0.00037693,             0.00037693
                    209,                0.63443,                0.32492,                 0.9007,                0.98032,                 0.9926,                0.99277,                0.78529,                0.86202,                 0.3354,                0.98902,             0.00037502,             0.00037502,             0.00037502
                    210,                0.65069,                0.33045,                0.89931,                0.98054,                 0.9786,                0.99109,                0.78502,                0.86753,                0.34307,                0.99009,             0.00037312,             0.00037312,             0.00037312
                    211,                 0.6457,                0.32677,                 0.8938,                0.97649,                0.99013,                0.99226,                0.78503,                0.88311,                0.34913,                 0.9918,             0.00037122,             0.00037122,             0.00037122
                    212,                0.63512,                0.32605,                0.90909,                0.97934,                0.98525,                0.99222,                0.79198,                0.86753,                0.33343,                0.98987,             0.00036931,             0.00036931,             0.00036931
                    213,                0.64441,                0.33034,                0.90762,                0.97053,                0.99301,                0.99259,                0.78878,                0.86815,                 0.3317,                0.98686,             0.00036741,             0.00036741,             0.00036741
                    214,                0.64691,                0.32553,                0.89903,                0.97525,                0.97903,                0.99214,                0.79083,                 0.8856,                0.34569,                0.99424,             0.00036551,             0.00036551,             0.00036551
                    215,                0.63759,                0.32483,                0.89454,                0.97895,                0.98068,                0.99302,                0.79532,                0.87341,                0.33843,                0.98838,              0.0003636,              0.0003636,              0.0003636
                    216,                0.65248,                 0.3274,                0.89947,                0.97919,                0.99134,                0.99298,                0.79115,                0.87169,                0.33754,                0.98889,              0.0003617,              0.0003617,              0.0003617
                    217,                0.62493,                0.31841,                0.89938,                 0.9797,                0.98521,                0.99295,                0.79513,                0.85282,                0.33858,                0.98728,              0.0003598,              0.0003598,              0.0003598
                    218,                0.62448,                0.31714,                0.89503,                0.98058,                0.98735,                0.99277,                0.80068,                0.84122,                0.33971,                0.97883,             0.00035789,             0.00035789,             0.00035789
                    219,                0.63108,                0.31378,                0.89301,                0.97912,                0.98911,                0.99307,                0.80115,                0.83679,                0.33738,                0.97665,             0.00035599,             0.00035599,             0.00035599
                    220,                0.62947,                0.31587,                0.89805,                0.98005,                0.98488,                0.99301,                 0.8003,                0.84409,                0.34183,                 0.9832,             0.00035409,             0.00035409,             0.00035409
                    221,                0.62679,                0.31615,                0.89649,                0.97665,                0.98739,                0.99266,                0.79995,                 0.8683,                 0.3478,                0.99224,             0.00035218,             0.00035218,             0.00035218
                    222,                0.63019,                 0.3242,                0.89272,                0.97713,                0.99056,                0.99253,                0.79565,                0.86114,                0.34533,                 0.9905,             0.00035028,             0.00035028,             0.00035028
                    223,                0.62568,                0.31633,                0.89842,                 0.9686,                  0.986,                0.99175,                0.79189,                0.86118,                0.34631,                0.98749,             0.00034838,             0.00034838,             0.00034838
                    224,                0.61498,                0.31628,                 0.8892,                0.97317,                0.98409,                0.99143,                0.79067,                0.87782,                 0.3605,                0.98835,             0.00034647,             0.00034647,             0.00034647
                    225,                0.62147,                0.31447,                0.89025,                0.96885,                0.99036,                0.99095,                0.79105,                0.86338,                 0.3557,                0.98668,             0.00034457,             0.00034457,             0.00034457
                    226,                 0.6485,                0.32283,                0.90084,                0.97293,                0.98267,                0.99193,                 0.7914,                0.87027,                0.35324,                0.99559,             0.00034267,             0.00034267,             0.00034267
                    227,                0.63168,                0.31903,                0.89181,                0.97486,                 0.9701,                0.99076,                0.79325,                0.87457,                0.34985,                0.99678,             0.00034076,             0.00034076,             0.00034076
                    228,                0.61661,                0.31492,                0.89596,                0.97434,                0.97045,                 0.9907,                0.79665,                0.86477,                0.34977,                0.99504,             0.00033886,             0.00033886,             0.00033886
                    229,                0.63056,                0.32124,                0.89565,                0.97772,                0.98799,                0.99175,                0.79185,                0.86714,                0.35444,                0.99394,             0.00033696,             0.00033696,             0.00033696
                    230,                0.61333,                 0.3135,                0.89281,                0.97324,                0.98756,                0.99122,                 0.7916,                0.87941,                0.35169,                0.99585,             0.00033505,             0.00033505,             0.00033505
                    231,                0.60946,                0.31534,                0.89901,                 0.9678,                0.98088,                0.99057,                0.79012,                0.86604,                0.35763,                0.99398,             0.00033315,             0.00033315,             0.00033315
                    232,                0.61837,                0.31525,                0.90172,                0.96335,                0.98899,                 0.9907,                0.79541,                 0.8543,                0.34873,                0.99375,             0.00033125,             0.00033125,             0.00033125
                    233,                0.61036,                0.30694,                0.89619,                0.97631,                0.99142,                0.99132,                0.79098,                0.85614,                0.35263,                 0.9962,             0.00032934,             0.00032934,             0.00032934
                    234,                0.61046,                0.31716,                0.89376,                 0.9778,                0.99251,                0.99234,                0.79506,                0.84766,                 0.3488,                0.99752,             0.00032744,             0.00032744,             0.00032744
